Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
Bahrain,Williams,ALB,3,24.801666666666666,74.405,SOFT,13.333333333333334,105.57833333333333,99.76566666666668,122.658,0.23491246625728132
Bahrain,Aston Martin,ALO,2,25.3125,50.625,HARD,18.5,101.2825,99.055,118.5405,0.24991977883642288
Bahrain,Alfa Romeo,BOT,2,25.476,50.952,HARD,14.5,102.7445,99.846,119.168,0.2479548783633187
Bahrain,AlphaTauri,DEV,2,25.109,50.218,HARD,13.5,103.8845,100.818,120.6335,0.24170111999383934
Bahrain,Alpine,GAS,3,25.192333333333334,75.577,HARD,13.333333333333334,105.39866666666666,99.82366666666667,123.07000000000001,0.23901946893698847
Bahrain,Mercedes,HAM,2,24.663,49.326,HARD,16.5,102.2555,99.566,119.34100000000001,0.2411899604422256
Bahrain,Haas F1 Team,HUL,3,30.311666666666667,90.935,HARD,14.333333333333334,109.46999999999998,100.24366666666667,126.63033333333334,0.27689473523948727
Bahrain,Ferrari,LEC,2,24.4605,48.921,HARD,16.5,101.6955,99.2185,119.1235,0.24052686697051492
Bahrain,Haas F1 Team,MAG,3,25.311666666666667,75.935,HARD,13.333333333333334,108.22500000000001,99.88066666666667,121.35566666666666,0.23388003388003387
Bahrain,McLaren,NOR,6,32.60616666666667,195.637,SOFT,10.166666666666666,101.069,98.6875,127.76499999999999,0.3226129343979525
Bahrain,Alpine,OCO,3,36.989000000000004,110.96700000000001,HARD,11.75,103.1575,106.86375,131.59433333333334,0.3585682088069215
Bahrain,Red Bull Racing,PER,2,24.6715,49.343,SOFT,19.5,101.023,98.3195,118.791,0.24421666353206697
Bahrain,McLaren,PIA,0,,0.0,SOFT,13.0,122.071,101.156,,
Bahrain,Mercedes,RUS,2,25.687,51.374,HARD,17.0,102.863,99.8265,119.98150000000001,0.2497205020269679
Bahrain,Ferrari,SAI,2,24.3905,48.781,HARD,17.0,102.292,99.56049999999999,118.749,0.2384399562038087
Bahrain,Williams,SAR,3,25.436666666666667,76.31,SOFT,13.333333333333334,106.68066666666668,99.72533333333332,121.724,0.2384374550840202
Bahrain,Aston Martin,STR,2,25.0305,50.061,HARD,16.5,102.154,99.356,118.46950000000001,0.2450271159230182
Bahrain,AlphaTauri,TSU,3,25.124333333333336,75.373,HARD,13.333333333333334,105.44200000000001,99.72500000000001,123.64166666666667,0.2382763351732074
Bahrain,Red Bull Racing,VER,2,24.617,49.234,SOFT,19.5,101.12950000000001,98.166,118.434,0.24342056472147097
Bahrain,Alfa Romeo,ZHO,3,27.093333333333334,81.28,SOFT,19.0,102.64433333333334,100.13733333333334,123.14433333333334,0.26395352235713615
Saudi Arabia,Williams,ALB,1,21.375,21.375,HARD,13.5,104.635,97.5295,,0.20428155015052324
Saudi Arabia,Aston Martin,ALO,1,26.859,26.859,MEDIUM,18.0,129.623,94.595,,0.20720859723968743
Saudi Arabia,Alfa Romeo,BOT,3,21.801333333333332,65.404,MEDIUM,11.666666666666666,105.80400000000002,97.044,114.299,0.206053961412927
Saudi Arabia,AlphaTauri,DEV,1,21.109,21.109,MEDIUM,17.0,109.322,96.126,149.507,0.19309013739229067
Saudi Arabia,Alpine,GAS,1,20.703,20.703,MEDIUM,14.0,98.551,96.17,113.128,0.21007397185213747
Saudi Arabia,Mercedes,HAM,1,21.062,21.062,HARD,18.0,136.76,95.047,,0.15400701959637322
Saudi Arabia,Haas F1 Team,HUL,1,21.515,21.515,MEDIUM,11.0,99.066,96.166,113.453,0.21717844669210426
Saudi Arabia,Ferrari,LEC,1,20.062,20.062,SOFT,16.0,97.681,95.071,119.434,0.20538282777612843
Saudi Arabia,Haas F1 Team,MAG,1,20.922,20.922,MEDIUM,8.0,99.187,96.304,112.964,0.21093490074304094
Saudi Arabia,McLaren,NOR,2,25.381999999999998,50.763999999999996,HARD,9.5,111.779,122.017,130.941,0.22707306381341755
Saudi Arabia,Alpine,OCO,1,20.797,20.797,MEDIUM,16.0,98.567,96.209,125.968,0.21099353739081034
Saudi Arabia,Red Bull Racing,PER,1,20.671,20.671,MEDIUM,18.0,127.357,93.961,,0.1623075292288606
Saudi Arabia,McLaren,PIA,1,31.39,31.39,MEDIUM,1.0,107.254,,124.805,0.2926697372592164
Saudi Arabia,Mercedes,RUS,1,20.828,20.828,MEDIUM,18.0,132.217,94.892,,0.15752891080572087
Saudi Arabia,Ferrari,SAI,1,20.75,20.75,MEDIUM,15.0,97.523,95.001,113.399,0.21277032084738987
Saudi Arabia,Williams,SAR,1,21.063,21.063,HARD,18.0,136.225,107.279,142.638,0.15461919618278583
Saudi Arabia,Aston Martin,STR,1,21.156,21.156,MEDIUM,13.0,98.543,96.522,114.305,0.21468800422150733
Saudi Arabia,AlphaTauri,TSU,1,21.406,21.406,MEDIUM,17.0,102.41,95.638,149.289,0.20902255639097744
Saudi Arabia,Red Bull Racing,VER,1,20.859,20.859,MEDIUM,18.0,134.348,93.79,,0.15526096406347695
Saudi Arabia,Alfa Romeo,ZHO,2,21.4765,42.953,HARD,9.0,118.47999999999999,102.7895,125.586,0.18126688048615802
Australia,Aston Martin,ALO,3,1215.4813333333334,3646.444,HARD,20.666666666666668,,95.2105,,
Australia,Alfa Romeo,BOT,6,413.1176666666667,2478.706,SOFT,11.166666666666666,123.8995,98.82433333333334,114.147,3.3342964795391965
Australia,AlphaTauri,DEV,4,395.71425,1582.857,SOFT,14.75,98.544,97.00066666666667,88.53,4.015609778373112
Australia,Alpine,GAS,2,901.107,1802.214,HARD,27.5,,97.782,,
Australia,Mercedes,HAM,3,1218.741,3656.223,HARD,20.333333333333332,144.44,94.8735,,8.4376973137635
Australia,Haas F1 Team,HUL,3,1225.3293333333334,3675.9880000000003,HARD,20.333333333333332,,101.857,,
Australia,Haas F1 Team,MAG,2,-72.085,-144.17,HARD,4.0,117.79,100.873,,-0.6119789455811189
Australia,McLaren,NOR,3,1226.6053333333332,3679.816,HARD,19.0,,103.5075,,
Australia,Alpine,OCO,3,611.977,1835.931,HARD,20.666666666666668,122.304,103.935,126.286,5.003736590790162
Australia,Red Bull Racing,PER,5,689.1360000000001,3445.6800000000003,HARD,11.6,131.9425,111.23533333333334,121.219,5.223002444246547
Australia,McLaren,PIA,4,676.51575,2706.063,SOFT,14.25,122.932,101.94099999999999,,5.50317045195718
Australia,Mercedes,RUS,2,-70.13999999999999,-140.27999999999997,HARD,4.0,107.537,95.34800000000001,,-0.6522406241572667
Australia,Ferrari,SAI,4,647.6605,2590.642,HARD,15.5,108.202,96.40833333333335,,5.985661078353449
Australia,Williams,SAR,6,249.221,1495.326,HARD,10.5,121.289,105.05075,111.18799999999999,2.054770012119813
Australia,Aston Martin,STR,3,1216.0586666666666,3648.176,HARD,21.0,,98.60249999999999,,
Australia,AlphaTauri,TSU,4,675.906,2703.624,SOFT,15.25,123.458,105.43866666666668,,5.474784947107518
Australia,Red Bull Racing,VER,3,1216.4336666666666,3649.301,HARD,20.0,,93.124,,
Australia,Alfa Romeo,ZHO,5,545.8186,2729.093,SOFT,12.8,130.212,106.16366666666666,119.863,4.191768807790373
Azerbaijan,Williams,ALB,1,21.078,21.078,MEDIUM,7.0,112.993,108.53,126.167,0.18654252918322375
Azerbaijan,Aston Martin,ALO,1,23.156,23.156,MEDIUM,11.0,148.557,107.416,,0.15587282995752472
Azerbaijan,Alfa Romeo,BOT,3,21.489333333333335,64.468,HARD,11.333333333333334,119.40533333333333,109.19,129.94566666666665,0.17996962726399715
Azerbaijan,Alpine,GAS,2,20.7185,41.437,HARD,11.5,112.68,108.46350000000001,124.78899999999999,0.18387025204117854
Azerbaijan,Mercedes,HAM,1,20.313,20.313,MEDIUM,9.0,113.178,107.929,131.469,0.17947834384774425
Azerbaijan,Haas F1 Team,HUL,1,24.687,24.687,HARD,49.0,113.182,109.008,126.546,0.21811772189924195
Azerbaijan,Ferrari,LEC,1,20.968,20.968,MEDIUM,11.0,144.96,107.034,,0.1446467991169978
Azerbaijan,Haas F1 Team,MAG,1,30.937,30.937,MEDIUM,10.0,122.819,109.051,,0.25189099406443627
Azerbaijan,McLaren,NOR,1,20.359,20.359,MEDIUM,9.0,112.343,108.336,135.72,0.18122179397025182
Azerbaijan,Alpine,OCO,1,20.359,20.359,HARD,50.0,110.932,105.908,121.249,0.18352684527458263
Azerbaijan,Red Bull Racing,PER,1,20.484,20.484,MEDIUM,11.0,142.994,106.905,,0.1432507657663958
Azerbaijan,McLaren,PIA,1,20.969,20.969,MEDIUM,8.0,112.245,109.102,125.475,0.18681455744131142
Azerbaijan,Mercedes,RUS,2,20.898000000000003,41.79600000000001,HARD,24.5,112.152,106.69800000000001,124.793,0.18633640059918685
Azerbaijan,Ferrari,SAI,1,21.952,21.952,MEDIUM,11.0,,107.412,,
Azerbaijan,Williams,SAR,1,21.062,21.062,MEDIUM,8.0,114.13,109.731,125.742,0.1845439411197757
Azerbaijan,Aston Martin,STR,1,23.14,23.14,MEDIUM,11.0,,107.893,,
Azerbaijan,AlphaTauri,TSU,1,20.484,20.484,MEDIUM,8.0,112.849,108.26,125.578,0.1815168942569274
Azerbaijan,Red Bull Racing,VER,1,20.749,20.749,MEDIUM,10.0,110.778,106.944,,0.18730253299391575
Azerbaijan,Alfa Romeo,ZHO,1,22.218,22.218,HARD,18.0,113.661,108.5595,,0.19547602079869084
Miami,Williams,ALB,1,22.437,22.437,MEDIUM,22.0,99.058,94.324,107.79,0.2265036645197763
Miami,Aston Martin,ALO,1,22.688,22.688,MEDIUM,25.0,97.282,92.266,107.051,0.23321888941428012
Miami,Alfa Romeo,BOT,1,23.234,23.234,MEDIUM,15.0,99.631,93.894,108.475,0.23320050988146263
Miami,AlphaTauri,DEV,1,23.594,23.594,MEDIUM,15.0,98.808,93.995,110.131,0.238786333090438
Miami,Alpine,GAS,1,22.453,22.453,MEDIUM,15.0,98.406,93.743,108.049,0.22816698168810842
Miami,Mercedes,HAM,1,22.187,22.187,HARD,37.0,97.819,92.709,105.089,0.22681687606702175
Miami,Haas F1 Team,HUL,1,23.219,23.219,HARD,33.0,100.557,92.584,107.942,0.2309038654693358
Miami,Ferrari,LEC,1,22.047,22.047,MEDIUM,17.0,97.645,93.35,108.229,0.22578729069588818
Miami,Haas F1 Team,MAG,1,22.578,22.578,MEDIUM,14.0,98.728,94.546,107.363,0.22868892310185562
Miami,McLaren,NOR,1,24.077,24.077,SOFT,4.0,98.826,93.869,110.478,0.24363021876834035
Miami,Alpine,OCO,1,21.937,21.937,HARD,39.0,97.507,92.58,105.73,0.2249787194765504
Miami,Red Bull Racing,PER,1,21.906,21.906,MEDIUM,20.0,97.863,92.7,106.826,0.22384353637227553
Miami,McLaren,PIA,1,22.265,22.265,SOFT,5.0,98.967,93.959,108.019,0.22497398122606527
Miami,Mercedes,RUS,1,22.329,22.329,MEDIUM,17.0,97.609,92.822,107.89,0.22875964306570093
Miami,Ferrari,SAI,1,22.281,22.281,MEDIUM,18.0,97.311,92.748,106.534,0.22896692049203068
Miami,Williams,SAR,1,48.906,48.906,MEDIUM,2.0,101.093,106.841,135.625,0.48377236801756796
Miami,Aston Martin,STR,1,22.594,22.594,HARD,43.0,97.256,92.247,106.469,0.2323147158015958
