Event,Team,Driver,PitStopCount,AvgPitDuration,TotalPitDuration,MostFrequentCompound,AvgTyreLife,AvgLapTime,AvgPrevLapTime,AvgNextLapTime,PitStopLapTimeRatio
Bahrain,Williams,ALB,3,25.200333333333333,75.601,MEDIUM,16.0,113.90466666666667,110.62133333333334,128.58,0.22124056959913846
Bahrain,Alpine,ALO,3,24.960333333333335,74.881,HARD,15.0,103.342,100.741,119.447,0.2415313554347055
Bahrain,Alfa Romeo,BOT,3,25.42833333333333,76.285,MEDIUM,16.0,109.07033333333334,99.76533333333333,129.44533333333334,0.23313702778940804
Bahrain,AlphaTauri,GAS,2,25.3705,50.741,MEDIUM,17.5,103.155,101.065,121.1025,0.2459454219378605
Bahrain,Mercedes,HAM,3,25.526999999999997,76.58099999999999,HARD,15.666666666666666,101.87266666666666,99.68033333333334,125.57133333333333,0.25057751833988834
Bahrain,Aston Martin,HUL,3,26.614,79.842,SOFT,14.666666666666666,107.36566666666666,101.49000000000001,131.477,0.24788184925659043
Bahrain,Williams,LAT,3,24.567333333333334,73.702,SOFT,15.0,113.83166666666666,105.72533333333332,126.71833333333332,0.21582160792983793
Bahrain,Ferrari,LEC,3,24.715999999999998,74.148,SOFT,16.333333333333332,109.579,98.79866666666668,116.9925,0.22555416640049644
Bahrain,Haas F1 Team,MAG,3,25.789666666666665,77.369,SOFT,16.333333333333332,111.226,108.423,122.62,0.23186724926426075
Bahrain,Haas F1 Team,MSC,2,25.389499999999998,50.778999999999996,MEDIUM,17.5,104.8485,101.9935,118.9845,0.24215415575806995
Bahrain,McLaren,NOR,3,25.647333333333336,76.94200000000001,HARD,15.0,113.42066666666666,103.30700000000002,128.86866666666666,0.2261257501572318
Bahrain,Alpine,OCO,3,26.775666666666666,80.327,HARD,14.333333333333334,102.77633333333334,100.11200000000001,121.07933333333334,0.2605236614136198
Bahrain,Red Bull Racing,PER,3,24.689666666666668,74.069,SOFT,16.333333333333332,101.51366666666667,98.83733333333333,117.47833333333334,0.24321519926709376
Bahrain,McLaren,RIC,3,25.004,75.012,HARD,14.666666666666666,106.267,101.20733333333334,130.53633333333332,0.23529411764705885
Bahrain,Mercedes,RUS,3,25.464,76.392,HARD,16.333333333333332,104.63833333333332,99.48133333333334,121.004,0.24335249988054092
Bahrain,Ferrari,SAI,3,24.473666666666663,73.42099999999999,SOFT,15.666666666666666,101.54766666666667,98.93700000000001,119.70466666666668,0.2410066865150356
